ID,Name,Description,Organization,Organization Type,Address,City,Postcode,Region,Latitude,Longitude,Phone,Email,Categories,Keywords,Min Age,Max Age,Youth Specific,Indigenous Specific,Data Source
e54877ab-0f27-4280-baa3-96b0b76fcaf3,"ATSILS Youth Legal Service - Brisbane","Free culturally appropriate legal services for Aboriginal and Torres Strait Islander young people. Services include:
- Criminal law representation in Children's Court
- Bail applications and support
- Legal advice for police matters
- Child protection representation
- Victims of crime assistance
- Stolen Wages applications
- Family law matters
- Anti-discrimination matters

Culturally safe service with Aboriginal and Torres Strait Islander lawyers and support workers. Field officers provide support beyond legal representation.","Aboriginal and Torres Strait Islander Legal Service",non_profit,"37 Herschel Street",Brisbane,4000,brisbane,-27.47060000,153.02420000,"[{"type":"voice","number":"(18) 0001 2255"}]",,"["legal_aid","court_support","advocacy","cultural_support"]","["aboriginal","torres strait islander","indigenous","legal","court","cultural","youth"]",10,25,false,true,aboriginal_torres_strait
56089fea-e9dc-4215-bd09-a3e2f01b4021,"ATSILS Youth Legal Service - Cairns","Culturally appropriate legal support for Aboriginal and Torres Strait Islander youth in Far North Queensland. Services include court representation, bail support, and connection to cultural programs.","Aboriginal and Torres Strait Islander Legal Service",non_profit,"104 Grafton Street",Cairns,4870,cairns,-16.92280000,145.77470000,"[{"type":"voice","number":"(18) 0001 2255"}]",,"["legal_aid","court_support","cultural_support"]","["aboriginal","torres strait islander","legal","cairns","youth"]",10,25,false,true,aboriginal_torres_strait
abc22ff8-8e88-4903-a2a4-8103255b3b55,"ATSILS Youth Legal Service - Townsville","Free legal services for Aboriginal and Torres Strait Islander young people in North Queensland. Includes criminal law, child protection, and cultural support services.","Aboriginal and Torres Strait Islander Legal Service",non_profit,"137 Flinders Street",Townsville,4810,townsville,-19.25900000,146.81810000,"[{"type":"voice","number":"(18) 0001 2255"}]",,"["legal_aid","court_support","cultural_support"]","["aboriginal","torres strait islander","legal","townsville","youth"]",10,25,false,true,aboriginal_torres_strait
56cb151f-e3b7-4486-84d3-42b231bd492b,"Aboriginal & Torres Strait Islander Youth Health Service","Holistic health and wellbeing services for Aboriginal and Torres Strait Islander young people. Services include:
- Youth health checks and immunizations
- Mental health and social emotional wellbeing support
- Sexual health education and services
- Drug and alcohol programs
- Nutrition and healthy lifestyle programs
- Cultural activities and camps
- Deadly Choices program
- School-based health promotion

Bulk billing available. No referral needed. Transport assistance available.","Aboriginal and Torres Strait Islander Community Health Service Brisbane",health,"55 Annerley Road",Woolloongabba,4102,brisbane,-27.49740000,153.03450000,"[{"type":"voice","number":"(07) 3240 8900"}]",,"["mental_health","substance_abuse","health","cultural_support"]","["aboriginal","torres strait islander","health","youth","mental health","cultural"]",12,25,true,true,aboriginal_torres_strait
daf88bf5-1882-48b4-a83b-065566358fe6,"Murri Youth Diversion Program - Logan","Culturally appropriate diversion program for Aboriginal and Torres Strait Islander young people. Services include:
- Pre and post court support
- Cultural mentoring and activities
- Connection to Elders
- Bush camps and cultural healing
- Education and employment pathways
- Family support and mediation
- Substance abuse counselling
- Life skills development

Program aims to reduce reoffending through cultural connection and intensive support.","Murri Youth Services",non_profit,"381 Kingston Road",Slacks Creek,4127,brisbane,-27.64970000,153.13460000,"[{"type":"voice","number":"(07) 3826 1500"}]",,"["diversion","cultural_support","case_management","mentoring"]","["murri","aboriginal","diversion","cultural","youth","logan"]",10,17,true,true,aboriginal_torres_strait
d70aa911-69e6-4aa8-bf8b-6f897b08e1f8,"Murri Youth Homelessness Service","Specialist homelessness support for Aboriginal and Torres Strait Islander young people aged 12-21. Services include:
- Emergency accommodation
- Transitional housing support
- Case management
- Cultural activities and connection
- Education and training support
- Health and wellbeing programs
- Family reconciliation
- Independent living skills

Culturally safe service with Aboriginal workers and regular Elder involvement.","Murri Youth Services",non_profit,"655 Kingston Road",Loganlea,4131,brisbane,-27.67500000,153.13890000,"[{"type":"voice","number":"(07) 3826 1500"}]",,"["housing","case_management","cultural_support"]","["murri","aboriginal","homeless","housing","youth","accommodation"]",12,21,true,true,aboriginal_torres_strait
7406450e-33d0-4fdc-9bbd-bd625e3d35f3,"Strong Young Mums Program","Support program for young Aboriginal and Torres Strait Islander mothers aged 14-25. Services include:
- Antenatal and postnatal care
- Parenting support and education
- Baby health checks
- Breastfeeding support
- Cultural activities for mums and bubs
- Playgroups and social support
- Connection to childcare and education
- Housing and Centrelink assistance

Home visits available. Partner and family involvement encouraged.","Aboriginal and Torres Strait Islander Community Health Service Brisbane",health,"55 Annerley Road",Woolloongabba,4102,brisbane,-27.49740000,153.03450000,"[{"type":"voice","number":"(07) 3240 8900"}]",,"["family_support","health","cultural_support"]","["aboriginal","torres strait islander","young mothers","parenting","health"]",14,25,true,true,aboriginal_torres_strait
f0bab27c-ae4b-448b-b4fa-403938604987,"1800RESPECT - Youth Sexual Assault and Family Violence Support","24/7 national sexual assault, domestic and family violence counselling service with specialist youth support. Services include:
- Crisis counselling for sexual assault
- Domestic and family violence support
- Safety planning for young people
- Support for young people who have experienced abuse
- Information about consent and healthy relationships
- Referrals to local youth services
- Support for friends and family
- Interpreter service available

Free, confidential service available 24/7. Trained counsellors understand issues facing young people. Online chat available.","1800RESPECT",government,"National Phone Service",Queensland,4000,statewide,-27.46980000,153.02510000,"[{"type":"voice","number":"(18) 0073 7732"}]",,"["crisis_support","family_support","mental_health"]","["sexual assault","family violence","domestic violence","crisis","abuse","counselling"]",12,25,false,false,crisis_support
5723f200-1816-417e-bfed-105b06d29c67,"Brisbane Youth Service - Crisis Accommodation","Emergency and crisis accommodation for young people aged 12-25 who are homeless or at risk. Services include:
- 24/7 crisis accommodation
- Emergency beds (up to 3 nights)
- Medium-term accommodation (up to 3 months)
- Meals and basic necessities
- Case management and support planning
- Health services on-site
- Education and employment support
- Life skills programs
- Referrals to permanent housing

Drop-in centre open 7 days. No referral needed. Priority given to young people escaping violence or with nowhere safe to sleep.","Brisbane Youth Service",non_profit,"42 McLachlan Street",Fortitude Valley,4006,brisbane,-27.45630000,153.03380000,"[{"type":"voice","number":"(07) 3620 2400"}]",,"["housing","crisis_support","case_management"]","["homeless","crisis","accommodation","emergency","housing","shelter"]",12,25,true,false,crisis_support
c381a9d3-eccf-4d51-b973-282a98e92eaa,"Brisbane Youth Service - Mobile Support Team","Outreach service finding and supporting young people experiencing homelessness. Services include:
- Street outreach in Brisbane CBD and surrounds
- Mobile support across greater Brisbane
- Emergency relief (food, clothing, hygiene packs)
- Transport to safe accommodation
- Connection to health services
- Advocacy and crisis intervention
- Flexible support based on young person's needs
- After-hours response for crisis situations

Team operates 7 days a week including evenings. Can be contacted through BYS main number.","Brisbane Youth Service",non_profit,"Mobile Service",Brisbane,4000,brisbane,-27.46980000,153.02510000,"[{"type":"voice","number":"(07) 3620 2400"}]",,"["crisis_support","housing","outreach"]","["outreach","mobile","homeless","street","crisis","emergency"]",12,25,true,false,crisis_support
412286ef-47a3-4c53-b775-466eb2a78552,"Kids Helpline - 24/7 Phone and Online Counselling","Free, confidential 24/7 phone and online counselling service for young people aged 5-25. Services include:
- Crisis support and suicide prevention
- Mental health and emotional wellbeing support
- Family and relationship issues
- Bullying and cyberbullying support
- School and study stress
- Alcohol and drug concerns
- Sexual health and identity
- Self-harm and eating disorders
- Abuse and violence support

Professional counsellors available 24/7 by phone (1800 55 1800), WebChat, or email. No issue too big or small.","Kids Helpline",non_profit,"Online and Phone Service",Queensland,4000,statewide,-27.46980000,153.02510000,"[{"type":"voice","number":"(18) 0055 1800"}]",,"["mental_health","crisis_support","family_support"]","["crisis","counselling","helpline","mental health","suicide","emergency","24/7"]",5,25,true,false,crisis_support
